X1,variable,Division_Name,District_Name,District_Code,value,Column,Indicator_v2,Description,Source,Unit
105,"Education Index, all types weighed equally (educ_eqwt_idx)",Peshawar,Nowshera,PK218,0.170633905,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
106,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Orakzai,PK237,0.40326347,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
107,"Education Index, all types weighed equally (educ_eqwt_idx)",Peshawar,Peshawar,PK219,0.158854304,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
108,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Shangla,PK220,0.423208094,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
109,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,South Waziristan,PK238,0.710835413,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
110,"Education Index, all types weighed equally (educ_eqwt_idx)",Mardan,Swabi,PK221,0.179597434,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
111,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Swat,PK222,0.257526335,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
112,"Education Index, all types weighed equally (educ_eqwt_idx)",Dera Ismail Khan,Tank,PK229,0.224950932,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
113,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Tor Ghar,PK231,0.611983424,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
114,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Upper Dir,PK230,0.338135931,D,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
115,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Abbottabad,PK201,0.134148398,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
116,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Bajaur,PK232,0.312271988,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
117,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Bannu,PK202,0.086736146,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
118,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Batagram,PK203,0.784505162,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
119,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Mardan,Buner,PK204,0.100765368,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
120,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Peshawar,Charsadda,PK205,0.02671068,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
121,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Malakand,Chitral,PK206,0.509304142,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
122,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Dera Ismail Khan,Dera Ismail Khan,PK207,0.09306841,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
123,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Bannu,FR Bannu,PK239,0.527188717,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
124,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Dera Ismail Khan,FR Dera Ismail Khan,PK240,0.190081071,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
125,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Kohat,FR Kohat,PK241,0.332158614,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
126,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Bannu,FR Lakki Marwat,PK242,0.669814289,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
127,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Peshawar,FR Peshawar,PK243,1.016566701,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
128,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Dera Ismail Khan,FR Tank,PK244,0.492017991,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
129,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Kohat,Hangu,PK208,0.24486718,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
130,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Haripur,PK209,0.086639493,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
131,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Kohat,Karak,PK210,0.098353505,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
132,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Khyber,PK233,0.206977079,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
133,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Kohat,Kohat,PK211,0.092142219,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
134,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Kohistan,PK212,1.256741017,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
135,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Kurram,PK234,0.29721716,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
136,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Bannu,Lakki Marwat,PK213,0.191337118,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
137,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Lower Dir,PK214,0.049596882,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
138,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Malakand,Malakand PA,PK215,0.016234151,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
139,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Mansehra,PK216,0.089462234,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
140,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Mardan,Mardan,PK217,0.012002308,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
141,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Mohmand,PK235,0.212294191,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
142,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,North Waziristan,PK236,0.582705453,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
143,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Peshawar,Nowshera,PK218,0.0384309,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
144,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,Orakzai,PK237,0.362387202,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
145,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Peshawar,Peshawar,PK219,0.046815097,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
146,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Malakand,Shangla,PK220,0.36996722,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
147,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",F.A.T.A.,South Waziristan,PK238,0.219844564,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
148,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Mardan,Swabi,PK221,0.027090439,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
149,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Malakand,Swat,PK222,0.136056826,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
150,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Dera Ismail Khan,Tank,PK229,0.114173893,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
151,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Hazara,Tor Ghar,PK231,0.948424694,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
152,"Gender difference in travel time to high school (Additional hours for girls, dry_educ_high_gender_dif)",Malakand,Upper Dir,PK230,0.301594846,K,Additional travel time to high school for girls (person-hours),"Difference in travel time between boys and girls to high school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
153,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Hazara,Abbottabad,PK201,0.001716311,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
154,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",F.A.T.A.,Bajaur,PK232,0.097231998,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
155,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",F.A.T.A.,Bannu,PK202,0.054212896,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
156,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Hazara,Batagram,PK203,0.126931967,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
157,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Mardan,Buner,PK204,0.10826605,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
158,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Peshawar,Charsadda,PK205,0.023641349,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
159,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Malakand,Chitral,PK206,0.091981964,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
160,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Dera Ismail Khan,Dera Ismail Khan,PK207,0.131828246,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
161,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Bannu,FR Bannu,PK239,0.349523709,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
162,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Dera Ismail Khan,FR Dera Ismail Khan,PK240,0.628744789,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
163,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Kohat,FR Kohat,PK241,-0.065274816,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
164,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Bannu,FR Lakki Marwat,PK242,0.252903745,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
165,"Gender difference in travel time to middle school (Additional hours for girls, dry_educ_middle_gender_dif)",Peshawar,FR Peshawar,PK243,0.719828844,J,Additional travel time to middle school for girls (person-hours),"Difference in travel time between boys and girls to middle school, expressed in additional hours' travel to school for girls","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Hours
