X1,variable,Division_Name,District_Name,District_Code,Tehsil_Name,Tehsil_Code,value,Column,Indicator_v2,Description,Source,Unit
178,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Kurram,PK234,Lower Kurram,PK23403,0.228068222,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
179,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Orakzai,PK237,Lower Orakzai,PK23702,0.341895785,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
180,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Makin,PK23803,0.468204357,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
181,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bajaur,PK232,Mamund,PK23204,0.204553778,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
182,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Mansehra,PK216,Mansehra,PK21603,0.133961919,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
183,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Mardan,PK217,Mardan,PK21703,0.094027534,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
184,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Shangla,PK220,Martung,PK22001,0.411742813,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
185,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Chitral,PK206,Mastuj,PK20601,0.654326182,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
186,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Swat,PK222,Matta Khararai,PK22204,0.1313775,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
187,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Swat,PK222,Matta Sebujni,PK22203,0.201307296,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
188,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,Mir Ali,PK23609,0.176000733,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
189,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,Miran Shah,PK23607,0.238575084,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
190,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bajaur,PK232,Nawagai,PK23205,0.183826923,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
191,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Nowshera,PK218,Nowshera,PK21802,0.09126835,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
192,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Mansehra,PK216,Oghi,PK21602,0.171025948,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
193,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Nowshera,PK218,Pabbi,PK21801,0.10002086,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
194,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,Dera Ismail Khan,PK207,Paharpur,PK20704,0.147011352,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
195,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Kohistan,PK212,Palas,PK21203,0.485020994,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
196,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Kohistan,PK212,Pattan,PK21202,0.596544338,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
197,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Peshawar,PK219,Peshawar,PK21901,0.084077536,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
198,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,Pindiali,PK23504,0.264600363,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
199,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Buner,PK204,Pir Baba/ Gadaizi,PK20404,0.204042871,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
200,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,Prang Ghar,PK23503,0.347580582,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
201,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Shangla,PK220,Puran,PK22005,0.235599446,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
202,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,Razmak,PK23605,0.2966307,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
203,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,Safi,PK23505,0.184488021,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
204,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bajaur,PK232,Salarzai Tehsil,PK23203,0.220298666,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
205,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Malakand PA,PK215,Sam Ranizai,PK21502,0.099806059,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
206,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Lower Dir,PK214,Samar Bagh,PK21402,0.108660851,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
207,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Bannu,Lakki Marwat,PK213,Sarai Naurang,PK21302,0.129828283,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
208,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Sararogha,PK23807,0.375418921,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
209,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Serwekai,PK23806,0.406987408,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
210,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,Shewa,PK23608,0.216395213,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
211,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,North Waziristan,PK236,Spinwam,PK23604,0.344951433,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
212,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Swabi,PK221,Swabi,PK22103,0.096186425,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
213,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Malakand PA,PK215,Swat Ranizai,PK21501,0.106808364,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
214,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Mardan,PK217,Takht Bhai,PK21702,0.092961165,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
215,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,Karak,PK210,Takht E Nasrati,PK21002,0.15164688,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
216,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Kohat,Hangu,PK208,Tall,PK20801,0.196134799,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
217,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Peshawar,Charsadda,PK205,Tangi,PK20501,0.132085518,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
218,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Dera Ismail Khan,Tank,PK229,Tank,PK22901,0.147793872,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
219,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Tiarza,PK23805,0.409472226,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
220,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Lower Dir,PK214,Timergara,PK21401,0.112875786,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
221,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Toi Khulla,PK23801,0.767128568,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
222,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Swabi,PK221,Topi,PK22101,0.14324511,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
223,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Hazara,Tor Ghar,PK231,Tor Ghar,PK23101,0.429744695,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
224,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Mardan,Buner,PK204,Totalai,PK20403,0.193729853,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
225,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Kurram,PK234,Upper Kurram,PK23402,0.22976707,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
226,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,Upper Momand,PK23502,0.388280131,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
227,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Orakzai,PK237,Upper Orakzai,PK23701,0.516879842,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
228,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Bajaur,PK232,Utman Khel Tehsil,PK23206,0.160867199,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
229,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,South Waziristan,PK238,Wana,PK23808,0.360816374,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
230,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Malakand,Upper Dir,PK230,Wari,PK23004,0.182256819,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
231,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",Bannu,FR Bannu,PK239,Wazir,PK23901,0.334720151,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
232,"Composite Index, education weighed doubly, all school types weighed equally (Composite Idx_Edu double weight_idx)",F.A.T.A.,Mohmand,PK235,Yaka Ghund,PK23506,0.130198105,J,"Composite Inaccessibility Index, education-preferred","Integrated index indicating relative access to education, healthcare and markets, with all school types weighed equally and double weights for education compared to healthcare and markets. Higher values indicate lower accessibility.",See individual indices,Dimensionless Index (0-1)
233,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Abbottabad,PK201,Abbottabad,PK20101,0.161430405,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
234,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Batagram,PK203,Alai,PK20301,0.36279742,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
235,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Shangla,PK220,Alpuri,PK22003,0.28328504,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
236,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Mohmand,PK235,Ambar Utman Khel,PK23501,0.498352576,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
237,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Swat,PK222,Babuzai,PK22209,0.12924602,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
238,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Swat,PK222,Bahrain,PK22202,0.396323508,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
239,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Mansehra,PK216,Balakot,PK21601,0.278111858,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
240,"Education Index, all types weighed equally (educ_eqwt_idx)",Kohat,Karak,PK210,Banda Daud Shah,PK21001,0.187167056,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
241,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Bannu,PK202,Bannu,PK20202,0.105927155,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
242,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Bajaur,PK232,Bar Chamarkand,PK23202,0.341284252,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
243,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Khyber,PK233,Bara,PK23302,0.228480283,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
244,"Education Index, all types weighed equally (educ_eqwt_idx)",F.A.T.A.,Bajaur,PK232,Barang,PK23201,0.405699856,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
245,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Upper Dir,PK230,Barawal,PK23003,0.216841763,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
246,"Education Index, all types weighed equally (educ_eqwt_idx)",Malakand,Swat,PK222,Barikot,PK22207,0.168410948,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
247,"Education Index, all types weighed equally (educ_eqwt_idx)",Hazara,Batagram,PK203,Batagram,PK20302,0.182071091,F,"Education Inaccessibility Index, equal weights","Index indicating relative access to primary, middle and high school (equally weighted) for boys and girls. Higher values indicate lower accessibility.","School locations: Pakistan Public School Census, n.d.; Population: Facebook/CIESIN HRSL, 2021; Friction surfaces: NASA SRTM, ICIMOD (2010), OpenStreetMap contributors (2021), CWD (Khyber Pahktunkhwa)",Dimensionless Index (0-1)
